date,tracker_type,tracker_name,value,goal,unit,notes,completed
2026-01-08,counter,Reading Pages,11.0,20.0,pages,,no
2026-01-08,duration,Study Hours,4.2,4.0,hours,,yes
2026-01-08,counter,Assignments Completed,4.0,3.0,assignments,,yes
2026-01-08,duration,Exercise Time,0.0,0.5,hours,,no
2026-01-07,duration,Extracurricular,0.7,1.0,hours,,no
2026-01-07,counter,Water Intake,3.0,8.0,glasses,,no
2026-01-07,numeric,Daily Expenses,5.84,10.0,dollars,,no
2026-01-07,checkbox,Made Bed,1.0,1.0,boolean,,yes
2026-01-07,duration,Social Time,1.4,2.0,hours,,no
2026-01-07,counter,Meals,4.0,3.0,meals,,yes
2026-01-06,duration,Sleep Duration,5.5,8.0,hours,,no
2026-01-06,duration,Study Hours,5.0,4.0,hours,,yes
2026-01-06,counter,Water Intake,7.0,8.0,glasses,,no
2026-01-05,checkbox,Made Bed,1.0,1.0,boolean,,yes
2026-01-05,duration,Extracurricular,1.4,1.0,hours,,yes
2026-01-05,counter,Meals,1.0,3.0,meals,,no
2026-01-05,duration,Study Hours,3.0,4.0,hours,,no
2026-01-05,duration,Screen Time,4.2,3.0,hours,,yes
2026-01-05,duration,Sleep Duration,7.1,8.0,hours,,no
2026-01-04,duration,Screen Time,3.4,3.0,hours,,yes
2026-01-04,duration,Study Hours,4.8,4.0,hours,,yes
2026-01-04,numeric,Daily Expenses,5.23,10.0,dollars,,no
2026-01-04,checkbox,Made Bed,0.0,1.0,boolean,,no
2026-01-04,duration,Sleep Duration,3.7,8.0,hours,,no
2026-01-03,numeric,Daily Expenses,4.66,10.0,dollars,,no
2026-01-03,duration,Extracurricular,0.9,1.0,hours,,no
2026-01-03,counter,Reading Pages,23.0,20.0,pages,,yes
2026-01-03,counter,Meals,2.0,3.0,meals,,no
2026-01-03,duration,Sleep Duration,6.5,8.0,hours,,no
2026-01-02,counter,Water Intake,9.0,8.0,glasses,,yes
2026-01-02,duration,Screen Time,1.7,3.0,hours,,no
2026-01-02,duration,Extracurricular,0.7,1.0,hours,,no
2026-01-02,duration,Sleep Duration,7.7,8.0,hours,,no
2026-01-02,duration,Social Time,2.5,2.0,hours,,yes
2026-01-01,counter,Meals,1.0,3.0,meals,,no
2026-01-01,counter,Water Intake,8.0,8.0,glasses,,yes
2026-01-01,rating,Daily Mood,2.0,4.0,stars,,no
2025-12-31,counter,Water Intake,3.0,8.0,glasses,,no
2025-12-31,duration,Exercise Time,0.5,0.5,hours,,yes
2025-12-31,rating,Daily Mood,4.0,4.0,stars,,yes
2025-12-31,checkbox,Made Bed,1.0,1.0,boolean,,yes
2025-12-31,counter,Meals,1.0,3.0,meals,,no
2025-12-31,duration,Study Hours,5.5,4.0,hours,,yes
2025-12-30,duration,Extracurricular,0.5,1.0,hours,,no
2025-12-30,counter,Meals,1.0,3.0,meals,,no
2025-12-30,counter,Assignments Completed,0.0,3.0,assignments,,no
2025-12-30,duration,Sleep Duration,3.6,8.0,hours,,no
2025-12-29,counter,Reading Pages,13.0,20.0,pages,,no
2025-12-29,duration,Study Hours,4.4,4.0,hours,,yes
2025-12-29,duration,Screen Time,2.3,3.0,hours,,no
2025-12-29,counter,Water Intake,7.0,8.0,glasses,,no
2025-12-28,counter,Water Intake,0.0,8.0,glasses,,no
2025-12-28,checkbox,Made Bed,1.0,1.0,boolean,,yes
2025-12-28,counter,Assignments Completed,4.0,3.0,assignments,,yes
2025-12-28,counter,Meals,4.0,3.0,meals,,yes
2025-12-28,rating,Daily Mood,5.0,4.0,stars,,yes
2025-12-28,duration,Sleep Duration,9.2,8.0,hours,,yes
2025-12-27,counter,Water Intake,7.0,8.0,glasses,,no
2025-12-27,checkbox,Made Bed,0.0,1.0,boolean,,no
2025-12-27,duration,Social Time,0.9,2.0,hours,,no
2025-12-27,counter,Meals,0.0,3.0,meals,,no
2025-12-26,counter,Assignments Completed,2.0,3.0,assignments,,no
2025-12-26,duration,Exercise Time,0.3,0.5,hours,,no
2025-12-26,duration,Social Time,0.9,2.0,hours,,no
2025-12-26,numeric,Daily Expenses,1.76,10.0,dollars,,no
